SatCatId,ObjectName,LaunchYear,OrbitalPeriod,LaunchMass,StatusCode,Inclination,Status,UcsData,OrbitClassEstimated,LaunchSiteCountry,Owner,UseType,LaunchVehicleClass,Purpose
7440,COSMOS 682,1974,115.08,-1.0,UNK,74.04,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7441,COSMOS 683,1974,114.88,-1.0,UNK,74.03,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7442,COSMOS 684,1974,114.68,-1.0,UNK,74.04,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7466,WESTAR 2,1974,1442.01,-1.0,UNK,7.79,Inactive,0,GSO,USA,USA,Unknown,Unknown,Unknown
7476,COSMOS 689,1974,104.93,-1.0,UNK,82.94,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7490,METEOR 1-19,1974,102.09,-1.0,UNK,81.19,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7529,NOAA 4,1974,114.91,-1.0,-,102.01,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
7530,OSCAR 7 (AO-7),1974,114.86,29.0,P,102.0,Active,1,LEO,USA,USA,Civil,Delta,Communications
7531,INTASAT,1974,114.88,-1.0,UNK,102.0,Inactive,0,LEO,USA,Spain,Unknown,Unknown,Unknown
7544,INTELSAT 4-F8,1974,1443.12,-1.0,-,8.47,Inactive,0,GSO,USA,INTELSAT,Unknown,Unknown,Unknown
7547,SKYNET 2B,1974,1435.36,-1.0,-,4.17,Inactive,0,GSO,USA,UK,Unknown,Unknown,Unknown
7574,METEOR 1-20,1974,101.98,-1.0,UNK,81.24,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7578,SYMPHONIE 1,1974,1440.57,-1.0,UNK,5.18,Inactive,0,GSO,USA,France/Germany,Unknown,Unknown,Unknown
7593,COSMOS 700,1974,104.58,-1.0,UNK,82.95,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7615,LANDSAT 2,1975,103.08,-1.0,-,99.01,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
7625,COSMOS 706,1975,716.86,-1.0,UNK,64.03,Inactive,0,MEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7646,STARLETTE,1975,104.17,-1.0,+,49.82,Active,0,LEO,French Guiana,France,Unknown,Unknown,Unknown
7648,SMS 2,1975,1447.0,-1.0,UNK,6.07,Inactive,0,GSO,USA,USA,Unknown,Unknown,Unknown
7663,COSMOS 708,1975,113.54,-1.0,UNK,69.23,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7678,COSMOS 711,1975,115.47,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7679,COSMOS 712,1975,114.88,-1.0,UNK,74.0,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7680,COSMOS 713,1975,114.68,-1.0,UNK,74.0,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7681,COSMOS 714,1975,115.26,-1.0,UNK,74.0,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7682,COSMOS 715,1975,115.69,-1.0,UNK,74.0,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7683,COSMOS 716,1975,115.9,-1.0,UNK,74.0,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7684,COSMOS 717,1975,116.14,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7685,COSMOS 718,1975,115.07,-1.0,UNK,74.0,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7687,OPS 2439,1975,-1.0,-1.0,UNK,-1.0,Inactive,0,Unknown,USA,USA,Unknown,Unknown,Unknown
7714,METEOR 1-21,1975,102.24,-1.0,UNK,81.19,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
