SatCatId,ObjectName,LaunchYear,Status,StatusCode,OrbitClass,LaunchMass,UcsData,OrbitalPeriod,LaunchSiteCountry,Owner,UseType,Purpose,LaunchVehicleClass,TLE1,TLE2
22988,USA 99 (MILSTAR-1 1),1994,Active,+,GEO,4536.0,1,1436.08,USA,USA,Military,Communications,Titan,1 22988U 94009A   22110.43100979 -.00000196  00000+0  00000+0 0  9995,2 22988  15.2561  43.7283 0001869 341.4018 248.4985  1.00269567 17737
23435,USA 107 (DSP 17),1994,Active,P,GEO,-1.0,0,1436.03,USA,USA,Unknown,Unknown,Unknown,1 23435U 94084A   22110.25328610 -.00000169  00000+0  00000+0 0  9990,2 23435  14.5868   6.2279 0002140  72.6405 124.1835  1.00273446 17726
23439,RADIO ROSTO (RS-15),1994,Active,P,LEO,-1.0,1,127.71,Kazakhstan,Russia/USSR,Civil,Communications,Rokot,1 23439U 94085A   22110.92571659 -.00000037  00000+0  15882-3 0  9994,2 23439  64.8115 238.6575 0167292 282.4017  75.8227 11.27571336125000
23467,UFO 4 (USA 108),1995,Active,+,GEO,3200.0,1,1436.06,USA,USA,Military,Communications,Atlas,1 23467U 95003A   22110.62537435 -.00000023  00000+0  00000+0 0  9994,2 23467   9.8644  18.0802 0004876  47.8545 180.3210  1.00276529 99726
23553,AMSC 1,1995,Active,+,GEO,2850.0,1,1436.08,USA,USA,Commercial,Communications,Atlas,1 23553U 95019A   22110.37733845 -.00000095  00000+0  00000+0 0  9991,2 23553  11.8942  26.6006 0007360   2.0889 208.1378  1.00273592 98946
23613,TDRS 7,1995,Active,+,GEO,3180.0,1,1436.04,USA,USA,Government,Communications,Space Shuttle STS,1 23613U 95035B   22110.64710723 -.00000206  00000+0  00000+0 0  9990,2 23613  14.0004 359.0254 0029924  46.2000 121.3038  1.00273161 98020
23628,USA 113,1995,Active,+,GEO,1156.0,1,1436.06,USA,USA,Military,Communications,Atlas,1 23628U 95038A   22110.69066038 -.00000341  00000+0  00000+0 0  9997,2 23628  12.0291  25.4122 0001213 356.4255 179.2776  1.00268924 17741
23712,USA 115 (MILSTAR-1 2),1995,Active,+,GEO,-1.0,0,1436.03,USA,USA,Unknown,Unknown,Unknown,1 23712U 95060A   22110.36795608 -.00000021  00000+0  00000+0 0  9997,2 23712  13.5043  14.7216 0002590  15.5699 190.5723  1.00271896 17655
23802,POLAR,1996,Active,P,MEO,-1.0,0,1109.0,USA,USA,Unknown,Unknown,Unknown,1 23802U 96013A   22104.87224228  .00000217  00000+0  00000+0 0  9996,2 23802  78.7528 242.2501 5839267 261.0384  32.3032  1.29846843125066
23839,INMARSAT 3-F1,1996,Active,+,GEO,-1.0,0,1440.06,USA,INMARSAT,Unknown,Unknown,Unknown,1 23839U 96020A   22110.77896494 -.00000032  00000+0  00000+0 0  9996,2 23839   7.4234  58.4759 0007099 358.7027  76.2013  1.00000527 95077
24278,JAS-2 (FO-29),1996,Active,P,LEO,-1.0,0,106.42,Japan,Japan,Unknown,Unknown,Unknown,1 24278U 96046B   22110.90640664 -.00000035  00000+0 -25766-5 0  9999,2 24278  98.5228 142.4934 0351316  72.6811 291.2439 13.53113279267820
24307,INMARSAT 3-F2,1996,Active,+,GEO,-1.0,0,1440.29,Kazakhstan,INMARSAT,Unknown,Unknown,Unknown,1 24307U 96053A   22110.52071937  .00000008  00000+0  00000+0 0  9995,2 24307   6.3886  67.4038 0009879 346.4705 227.3424  0.99980304 93737
24315,AMC-1 (GE-1),1996,Active,+,GEO,2783.0,1,1436.09,USA,SES,Commercial,Communications,Atlas,1 24315U 96054A   22110.53729965  .00000064  00000+0  00000+0 0  9999,2 24315   5.4843  73.6185 0003727 319.0732 238.4317  1.00271917 31094
24674,INMARSAT 3-F3,1996,Active,+,GEO,2074.0,1,1439.94,USA,INMARSAT,Commercial,Communications,Atlas,1 24674U 96070A   22110.78471184 -.00000357  00000+0  00000+0 0  9995,2 24674   7.0126  62.1195 0006460 344.5844 214.7035  0.99998611 92727
24812,GALAXY 25 (G-25),1997,Active,+,GEO,3515.0,1,1436.08,Kazakhstan,USA,Commercial,Communications,Proton,1 24812U 97026A   22111.11371007 -.00000007  00000+0  00000+0 0  9994,2 24812   3.5501  84.1956 0005060 335.1455 256.8619  1.00270668 91145
24876,NAVSTAR 43 (USA 132),1997,Active,+,MEO,2217.0,1,717.98,USA,USA,Commercial/Military,Navigation/Global Positioning,Delta,1 24876U 97035A   22110.52710237  .00000042  00000+0  00000+0 0  9998,2 24876  55.5004 157.9330 0056660  51.7772 308.8091  2.00563411181492
24916,INTELSAT 5 (IS-5),1997,Active,+,GEO,2730.0,1,1437.85,Kazakhstan,USA,Commercial,Communications,Proton,1 24916U 97046A   22110.63476056  .00000020  00000+0  00000+0 0  9991,2 24916   7.1072  61.4498 0001824  35.9882 159.1928  1.00153904 90392
24920,FORTE,1997,Active,+,LEO,215.0,1,100.95,Western Range Airspace,USA,Government,Earth Observation,Pegasus,1 24920U 97047A   22110.54130458  .00000187  00000+0  10128-3 0  9990,2 24920  69.9545 199.9541 0023300 193.2388 166.8125 14.26509709282270
24936,AMC-3 (GE-3),1997,Active,+,GEO,2845.0,1,1436.1,USA,SES,Commercial,Communications,Atlas,1 24936U 97050A   22110.79902705 -.00000262  00000+0  00000+0 0  9999,2 24936   4.4054  79.9932 0003252 317.4817  27.0366  1.00271037 37202
25019,USA 134,1997,Active,+,GEO,1156.0,1,1436.07,USA,USA,Military,Communications,Delta,1 25019U 97065A   22110.41777084 -.00000062  00000+0  00000+0 0  9995,2 25019  10.9886  31.8499 0006609 358.0492 216.7834  1.00271108 17725
