Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Date of Launch,Launch Mass (kg.),Dry Mass (kg.),Power (watts),Expected Lifetime (yrs.),Launch Vehicle,NORAD Number
Starlink-1976 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47574
Starlink-1977 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47575
Starlink-1978 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47576
Starlink-1979 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47577
Starlink-1980 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47578
Starlink-1981 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47579
Starlink-1982 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47580
Starlink-1983 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47630
Starlink-1984 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47581
Starlink-1986 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47582
Starlink-1987 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47583
Starlink-1989 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47585
Starlink-1990 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47586
Starlink-1991 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47587
Starlink-1992 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47632
Starlink-1993 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47588
Starlink-1994 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47589
Starlink-1995 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47590
Starlink-1996 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47591
Starlink-1997 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47592
Starlink-1998 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47593
Starlink-1999 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47594
Starlink-2000 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47595
Starlink-2001 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47596
Starlink-2002 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47597
Starlink-2003 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47598
Starlink-2004 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47599
Starlink-2005 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47600
Starlink-2006 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47601
Starlink-2007 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47602
Starlink-2008 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47603
Starlink-2009 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47633
Starlink-2010 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47634
Starlink-2011 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47350
Starlink-2012 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47635
Starlink-2013 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47636
Starlink-2014 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47637
Starlink-2015 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47638
Starlink-2016 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47639
Starlink-2017 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47351
Starlink-2018 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47640
Starlink-2019 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47641
Starlink-2020 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47642
Starlink-2021 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47604
Starlink-2022 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47643
Starlink-2024 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47606
Starlink-2025 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-04 00:00:00,260.0,,,4.0,Falcon 9,47607
Starlink-2026 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47644
Starlink-2027 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47645
Starlink-2028 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47646
Starlink-2029 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-04-28 00:00:00,260.0,,,4.0,Falcon 9,48320
Starlink-2030 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47647
Starlink-2031 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47648
Starlink-2032 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47649
Starlink-2033 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47650
Starlink-2034 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47352
Starlink-2035 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47651
Starlink-2036 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47652
Starlink-2037 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47653
Starlink-2038 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47654
Starlink-2039 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47655
Starlink-2040 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47656
Starlink-2041 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47657
Starlink-2042 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47658
Starlink-2043 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47659
Starlink-2044 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47660
Starlink-2045 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47353
Starlink-2046 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47354
Starlink-2047 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47355
Starlink-2048 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-04-07 00:00:00,260.0,,,4.0,Falcon 9,48092
Starlink-2049 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47356
Starlink-2050 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47357
Starlink-2051 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47661
Starlink-2052 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47662
Starlink-2053 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47663
Starlink-2054 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47664
Starlink-2055 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47358
Starlink-2056 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47665
Starlink-2057 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47666
Starlink-2058 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47667
Starlink-2059 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47668
Starlink-2060 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47669
Starlink-2061 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-04-28 00:00:00,260.0,,,4.0,Falcon 9,48312
Starlink-2062 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47670
Starlink-2063,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-05-15 00:00:00,260.0,,,4.0,Falcon 9,48553
Starlink-2064 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47671
Starlink-2065 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47672
Starlink-2066 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47673
Starlink-2067 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47674
Starlink-2068 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47722
Starlink-2069 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47359
Starlink-2070 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47360
Starlink-2071 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47361
Starlink-2076 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47362
Starlink-2077 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47363
Starlink-2078 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47675
Starlink-2081 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47366
Starlink-2082 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47367
Starlink-2083 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47676
Starlink-2084 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47368
Starlink-2085 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47369
Starlink-2086 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47370
Starlink-2087,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-24 00:00:00,260.0,,,4.0,Falcon 9,47977
Starlink-2088 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47371
Starlink-2089 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47372
Starlink-2090 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47677
Starlink-2092 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47373
Starlink-2093 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47374
Starlink-2094 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47375
Starlink-2095 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-02-15 00:00:00,260.0,,,4.0,Falcon 9,47679
Starlink-2096 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47376
Starlink-2097 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47377
Starlink-2098 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47378
Starlink-2099 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47379
Starlink-2100 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47380
Starlink-2101 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47381
Starlink-2102 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47382
Starlink-2103 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47383
Starlink-2104 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47384
Starlink-2105 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47385
Starlink-2106 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47386
Starlink-2107 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47723
Starlink-2108 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47387
Starlink-2109 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47388
Starlink-2110 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47389
Starlink-2111 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47390
Starlink-2112 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47391
Starlink-2113 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47392
Starlink-2114 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47393
Starlink-2115 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47394
Starlink-2116 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47724
Starlink-2117 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47395
Starlink-2118 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47396
Starlink-2119 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47397
Starlink-2120 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47398
Starlink-2121 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47399
Starlink-2122 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47400
Starlink-2123 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47401
Starlink-2124 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47402
Starlink-2125 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47725
Starlink-2126 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47726
Starlink-2127 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47403
Starlink-2128 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47404
Starlink-2129 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47727
Starlink-2130 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47405
Starlink-2131 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47728
Starlink-2132 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47729
Starlink-2133 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47406
Starlink-2134 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47407
Starlink-2135 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-01-20 00:00:00,260.0,,,4.0,Falcon 9,47408
Starlink-2139,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-05-15 00:00:00,260.0,,,4.0,Falcon 9,48554
Starlink-2140 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47730
Starlink-2141 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47731
Starlink-2142 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47732
Starlink-2143 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47733
Starlink-2144 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47734
Starlink-2145,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-05-15 00:00:00,260.0,,,4.0,Falcon 9,48555
Starlink-2146 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47735
Starlink-2147 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,37736
Starlink-2148 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47737
Starlink-2149 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47738
Starlink-2150 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47739
Starlink-2151,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-05-15 00:00:00,260.0,,,4.0,Falcon 9,48556
Starlink-2152 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47740
Starlink-2153 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-24 00:00:00,260.0,,,4.0,Falcon 9,48009
Starlink-2154 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47741
Starlink-2155,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-05-15 00:00:00,260.0,,,4.0,Falcon 9,48557
Starlink-2156 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47742
Starlink-2157 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47743
Starlink-2158 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47744
Starlink-2159 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47745
Starlink-2160 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47746
Starlink-2161 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47747
Starlink-2162 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47748
Starlink-2163 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47749
Starlink-2164 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47750
Starlink-2166,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-05-15 00:00:00,260.0,,,4.0,Falcon 9,48558
Starlink-2167,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-05-15 00:00:00,260.0,,,4.0,Falcon 9,48559
Starlink-2168 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47751
Starlink-2169 ,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,2021-03-04 00:00:00,260.0,,,4.0,Falcon 9,47752
