Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Date of Launch,Launch Mass (kg.),Dry Mass (kg.),Power (watts),Expected Lifetime (yrs.),Launch Vehicle,NORAD Number
Apstar 7,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,2012-03-31 00:00:00,5054.0,,,15.0,Long March 3B,38107
Apstar 9,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,2015-10-16 00:00:00,5200.0,,10500,15.0,Long March 3B,40982
Arabsat 5C,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,2011-09-21 00:00:00,4630.0,,,15.0,Ariane 5 ECA,37810
Arabsat 6A,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,,GEO,,2019-04-11 00:00:00,6465.0,,20000,15.0,Falcon Heavy,44186
ARCE 1A,USA,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,Technology Development,,LEO,Sun-Synchronous,2021-01-24 00:00:00,1.0,,,,Falcon 9/Sherpa FX,47484
ARCE 1B,USA,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,Technology Development,,LEO,Sun-Synchronous,2021-01-24 00:00:00,1.0,,,,Falcon 9/Sherpa FX,47615
ARCE 1C,USA,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,Technology Development,,LEO,Sun-Synchronous,2021-01-24 00:00:00,1.0,,,,Falcon 9/Sherpa FX,47616
ARCSAT,Norway,Norwegian Defence Research Establishment,Military,Technology Demonstration,,LEO,Sun-Synchronous,2022-04-01 00:00:00,10.0,,,,Falcon 9,52161
ARICA,Japan,Aoyama Gakuin University in Tokyo,Civil,Technology Development,,LEO,Sun-Synchronous,2021-11-08 00:00:00,1.0,,,,H2A,49403
Arktika-M1,Russia,Naval Physical and Oceanographic Laboratory,Government,Earth Observation,Meteorology,Elliptical,,2021-02-28 00:00:00,2200.0,780,2000,7.0,Soyuz-2.1b,47719
Arkyd-6A,USA,Planetary Resources,Commercial,Technology Development,,LEO,Sun-Synchronous,2018-01-11 00:00:00,10.0,,,,PSLV,43130
ArSat 1,Argentina,ArSat,Commercial,Communications,,GEO,,2014-10-16 00:00:00,3000.0,,,15.0,Ariane 5 ECA,40272
ArSat 2,Argentina,ArSat,Commercial,Communications,,GEO,,2015-09-30 00:00:00,2977.0,,4600,15.0,Ariane 5 ECA,40941
Arthur,Belgium,Aerospacelab,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2021-06-30 00:00:00,20.0,,,,Falcon 9,48953
