SatCatId,ObjectId,ObjectName,LaunchDate,LaunchYear,LaunchSite,LaunchSiteCountry,LaunchVehicle,Status,StatusCode,OrbitClassEstimated,OrbitalPeriod,DecayDate,OwnerCode,Owner,Inclination,UseType,Purpose,LaunchMass,DryMass,ExpLifetime,UcsData,LaunchVehicleClass
14532,1983-118A,GORIZONT 8,1983-11-30,1983,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,GSO,1465.35,-1.0,CIS,Russia/USSR,10.03,,,-1.0,,-1.0,0,
14546,1983-120A,COSMOS 1513,1983-12-08,1983,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,104.77,-1.0,CIS,Russia/USSR,82.94,,,-1.0,,-1.0,0,
14590,1983-127A,COSMOS 1519 [GLONASS],1983-12-29,1983,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,MEO,675.74,-1.0,CIS,Russia/USSR,66.52,,,-1.0,,-1.0,0,
14591,1983-127B,COSMOS 1520 [GLONASS],1983-12-29,1983,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,MEO,675.73,-1.0,CIS,Russia/USSR,66.51,,,-1.0,,-1.0,0,
14592,1983-127C,COSMOS 1521 [GLONASS],1983-12-29,1983,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,MEO,673.41,-1.0,CIS,Russia/USSR,66.4,,,-1.0,,-1.0,0,
14611,1984-001A,COSMOS 1522,1984-01-05,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,115.47,-1.0,CIS,Russia/USSR,74.01,,,-1.0,,-1.0,0,
14612,1984-001B,COSMOS 1523,1984-01-05,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,114.41,-1.0,CIS,Russia/USSR,74.0,,,-1.0,,-1.0,0,
14613,1984-001C,COSMOS 1524,1984-01-05,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,114.58,-1.0,CIS,Russia/USSR,74.01,,,-1.0,,-1.0,0,
14614,1984-001D,COSMOS 1525,1984-01-05,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,114.75,-1.0,CIS,Russia/USSR,74.01,,,-1.0,,-1.0,0,
14615,1984-001E,COSMOS 1526,1984-01-05,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,114.92,-1.0,CIS,Russia/USSR,74.01,,,-1.0,,-1.0,0,
14616,1984-001F,COSMOS 1527,1984-01-05,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,115.1,-1.0,CIS,Russia/USSR,74.01,,,-1.0,,-1.0,0,
14617,1984-001G,COSMOS 1528,1984-01-05,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,115.29,-1.0,CIS,Russia/USSR,74.01,,,-1.0,,-1.0,0,
14618,1984-001H,COSMOS 1529,1984-01-05,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,115.68,-1.0,CIS,Russia/USSR,74.01,,,-1.0,,-1.0,0,
14624,1984-003A,COSMOS 1531,1984-01-11,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,104.93,-1.0,CIS,Russia/USSR,82.93,,,-1.0,,-1.0,0,
14659,1984-005A,YURI-2A (BS-2A),1984-01-23,1984,"Tanegashima Space Center, Japan",Japan,,Inactive,-,GSO,1453.76,-1.0,JPN,Japan,11.41,,,-1.0,,-1.0,0,
14670,1984-008A,STTW-T1,1984-01-29,1984,"Xichang Launch Facility, PRC",PRC,,Inactive,UNK,MEO,159.33,-1.0,PRC,China,36.11,,,-1.0,,-1.0,0,
14675,1984-009A,OPS 0441,1984-01-31,1984,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,GSO,1436.26,-1.0,US,USA,6.03,,,-1.0,,-1.0,0,
14679,1984-010A,COSMOS 1535,1984-02-02,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,104.7,-1.0,CIS,Russia/USSR,82.96,,,-1.0,,-1.0,0,
14690,1984-012A,OPS 8737,1984-02-05,1984,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,LEO,102.13,-1.0,US,USA,63.3,,,-1.0,,-1.0,0,
14699,1984-013A,COSMOS 1536,1984-02-08,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,94.64,-1.0,CIS,Russia/USSR,82.55,,,-1.0,,-1.0,0,
