SatCatId,ObjectName,LaunchYear,OrbitalPeriod,LaunchMass,StatusCode,Inclination,Status,UcsData,OrbitClassEstimated,LaunchSiteCountry,Owner,UseType,Purpose,LaunchVehicleClass,TLE1,TLE2,MeanMotion,Eccentricity,OrbitClass
8288,COSMOS 764,1975,116.03,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 08288U 75086D   24054.64661361 -.00000018  00000+0 -19074-4 0  9995,2 08288  74.0126   7.2632 0029273  60.3900 112.9026 12.41071468194468,12.41071468,0.0029273,LEO
8289,COSMOS 765,1975,116.29,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 08289U 75086E   24054.65013499  .00000011  00000+0  20133-3 0  9998,2 08289  74.0092 128.5647 0046087 199.3975 274.2508 12.38272029189734,12.38272029,0.0046087,LEO
8290,COSMOS 766,1975,114.9,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 08290U 75086F   24054.54365716 -.00000033  00000+0 -10537-3 0  9993,2 08290  74.0093 193.7781 0041897  48.4158  22.9996 12.53276287215940,12.53276287,0.0041897,LEO
8291,COSMOS 767,1975,115.34,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 08291U 75086G   24054.72789922 -.00000003  00000+0  84220-4 0  9990,2 08291  74.0090  43.4168 0020503 309.0775 223.9369 12.48505012207819,12.48505012,0.0020503,LEO
8292,COSMOS 768,1975,115.56,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 08292U 75086H   24054.63353656 -.00000007  00000+0  60133-4 0  9993,2 08292  74.0104 149.2546 0012256 111.9192 357.4554 12.46095278203293,12.46095278,0.0012256,LEO
8293,METEOR 1-22,1975,101.94,-1.0,UNK,81.25,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 08293U 75087A   24054.80261582  .00000176  00000+0  86117-4 0  9996,2 08293  81.2528  89.8989 0074719 208.4252 151.2837 14.12555176494104,14.12555176,0.0074719,LEO
16482,SATCOM K1,1986,1446.35,-1.0,UNK,14.9,Inactive,0,GSO,USA,USA,Unknown,Unknown,Unknown,1 16482U 86003B   24054.18338413 -.00000283  00000+0  00000+0 0  9996,2 16482  14.9010 357.4887 0001196 212.5231 335.7104  0.99560950116030,0.9956095,0.0001196,GSO
24677,COSMOS 2336,1996,104.99,-1.0,UNK,82.94,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 24677U 96071A   24054.60418559  .00000078  00000+0  69361-4 0  9995,2 24677  82.9392 108.9358 0025251 101.4031   7.8249 13.71578484360243,13.71578484,0.0025251,LEO
107,EXPLORER 11,1961,101.82,-1.0,UNK,28.79,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown,1 00107U 61013A   24054.83647654  .00006219  00000+0  78993-3 0  9993,2 00107  28.7885 119.1519 0525135 204.3950 153.0897 14.14258777156033,14.14258777,0.0525135,LEO
16493,COSMOS 1725,1986,104.74,-1.0,UNK,82.93,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 16493U 86005A   24054.83730427  .00000103  00000+0  92636-4 0  9994,2 16493  82.9290  89.4104 0022966  30.7150 142.8848 13.74784027956415,13.74784027,0.0022966,LEO
16495,COSMOS 1726,1986,92.93,-1.0,UNK,82.46,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Tsiklon,1 16495U 86006A   24054.69722049  .00030048  00000+0  54412-3 0  9992,2 16495  82.4630 124.6145 0007491 206.7037 153.3829 15.49463650 89246,15.4946365,0.0007491,LEO
16497,RADUGA 18,1986,1457.31,-1.0,-,11.89,Inactive,0,GSO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown,1 16497U 86007A   24054.46715403  .00000021  00000+0  00000+0 0  9994,2 16497  11.8943 326.8742 0073994 179.6878  40.2772  0.98811728137518,0.98811728,0.0073994,GSO
116,TRANSIT 4A,1961,103.45,-1.0,UNK,66.81,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown,1 00116U 61015A   24054.57283239  .00000106  00000+0  14025-3 0  9996,2 00116  66.8099 157.0608 0071699 149.7383 210.7867 13.92002854179138,13.92002854,0.0071699,LEO
117,SOLRAD 3 & INJUN 1,1961,103.6,-1.0,UNK,66.81,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown,1 00117U 61015B   24054.57677224  .00000026  00000+0  80995-4 0  9999,2 00117  66.8108 263.9288 0076593 173.5658 186.6423 13.89996557176661,13.89996557,0.0076593,LEO
16510,COSMOS 1727,1986,104.76,-1.0,UNK,82.95,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 16510U 86008A   24054.60249163  .00000114  00000+0  10314-3 0  9998,2 16510  82.9451 237.7215 0039125  68.0496 356.7409 13.74534360909710,13.7453436,0.0039125,LEO
8325,COSMOS 770,1975,109.11,-1.0,UNK,82.96,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Kosmos,1 08325U 75089A   24054.52629221  .00000023  00000+0  25068-4 0  9990,2 08325  82.9571 216.3064 0029718  78.9527 343.1283 13.19766837331977,13.19766837,0.0029718,LEO
24713,AMC-2 (GE-2),1997,1447.64,-1.0,-,9.07,Inactive,0,GSO,French Guiana,SES,Unknown,Unknown,Unknown,1 24713U 97002A   24054.35864771 -.00000324  00000+0  00000+0 0  9999,2 24713   9.0639  52.1177 0001269  92.2437 265.6158  0.99472495 99015,0.99472495,0.0001269,GSO
8330,INTELSAT 4A-F1,1975,1441.07,-1.0,-,9.67,Inactive,0,GSO,USA,INTELSAT,Unknown,Unknown,Unknown,1 08330U 75091A   24054.18430005 -.00000262  00000+0  00000+0 0  9991,2 08330   9.6698 310.7840 0004584 218.7658 345.1286  0.99926507113028,0.99926507,0.0004584,GSO
41099,COSMOS 2512,2015,98.15,-1.0,-,98.11,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 41099U 15071B   24054.78581792  .00003627  00000+0  65289-3 0  9999,2 41099  98.1135  70.4621 0006569 180.7805 179.3390 14.67178334438918,14.67178334,0.0006569,LEO
24714,NAHUEL 1A,1997,1448.93,-1.0,UNK,11.24,Inactive,0,GSO,French Guiana,Argentina,Unknown,Unknown,Unknown,1 24714U 97002B   24054.61798538  .00000071  00000+0  00000+0 0  9994,2 24714  11.2343  34.3951 0005612 173.1263  42.7144  0.99383262 98692,0.99383262,0.0005612,GSO
16526,STTW-1,1986,1436.84,-1.0,-,11.88,Inactive,0,GSO,PRC,China,Unknown,Unknown,Unknown,1 16526U 86010A   24053.84436759 -.00000234  00000+0  00000+0 0  9993,2 16526  11.8855 329.3780 0001490 223.4500 353.7345  1.00220157146988,1.00220157,0.000149,GSO
41103,CHINASAT 1C (ZX 1C),2015,1452.07,5200.0,-,4.95,Inactive,1,GSO,PRC,China,Commercial,Communications,Long March,1 41103U 15073A   24054.43018031 -.00000272  00000+0  00000+0 0  9990,2 41103   4.9470  78.6292 0004098 165.6042 190.8040  0.99169577 30169,0.99169577,0.0004098,GSO
